_id,name,review_scores.review_scores_accuracy,review_scores.review_scores_cleanliness,review_scores.review_scores_checkin,review_scores.review_scores_communication,review_scores.review_scores_location,review_scores.review_scores_value,review_scores.review_scores_rating
10108388,Sydney Hyde Park City Apartment (checkin from 6am),10.0,10.0,10.0,10.0,10.0,10.0,100.0
10109896,THE Place to See Sydney's FIREWORKS,10.0,10.0,10.0,,,,
10116578,Apartamento zona sul do RJ,10.0,10.0,10.0,,,,
10116256,GOLF ROYAL RESIDENCE SUİTES(2+1)-2,10.0,10.0,10.0,,,,
10140368,A bedroom far away from home,10.0,10.0,10.0,10.0,9.0,10.0,95.0
10112159,Downtown Oporto Inn (room cleaning),10.0,10.0,10.0,,,,
10133554,Double and triple rooms Blue mosque,9.0,9.0,10.0,10.0,10.0,9.0,92.0
10091713,Surry Hills Studio - Your Perfect Base in Sydney,10.0,9.0,10.0,10.0,10.0,9.0,95.0
10092679,Cozy house at Beyoğlu,10.0,9.0,10.0,10.0,9.0,10.0,99.0
1019168,"Cozy Nest, heart of the Plateau",10.0,9.0,10.0,10.0,10.0,10.0,98.0
1016739,Private Room (2)  in Guest House at Coogee Beach,10.0,10.0,10.0,10.0,10.0,9.0,100.0
10220130,Cozy aptartment in Recreio (near Olympic Venues),10.0,10.0,10.0,,,,
10228731,Quarto inteiro na Tijuca,8.0,10.0,10.0,10.0,10.0,10.0,100.0
10227000,"LAHAINA, MAUI! RESORT/CONDO BEACHFRONT!! SLEEPS 4!",10.0,10.0,10.0,8.0,10.0,10.0,100.0
10166883,Large railroad style 3 bedroom apt in Manhattan!,10.0,9.0,10.0,10.0,9.0,9.0,95.0
10213499,Great studio opp. Narrabeen Lake,10.0,10.0,10.0,10.0,10.0,10.0,97.0
10264100,Your spot in Copacabana,10.0,9.0,10.0,10.0,10.0,10.0,100.0
10141950,"Big, Bright & Convenient Sheung Wan",10.0,10.0,10.0,10.0,10.0,10.0,100.0
10201975,Ipanema: moderno apê 2BR + garagem,9.0,10.0,10.0,10.0,10.0,9.0,92.0
10199760,Uygun nezih daire,10.0,10.0,10.0,,,,
10166986,Resort-like living in Williamsburg,10.0,8.0,10.0,10.0,10.0,10.0,100.0
10186755,Roof double bed private room,10.0,10.0,10.0,,,,
10233856,Twin Bed room+MTR Mongkok shopping&My,8.0,9.0,9.0,9.0,10.0,9.0,83.0
10215858,Cozy Queen Guest Room&My,8.0,7.0,9.0,8.0,10.0,8.0,73.0
1022200,"Kailua-Kona, Kona Coast II 2b condo",10.0,8.0,10.0,10.0,10.0,10.0,100.0
10240767,Cozy double bed room 東涌鄉村雅緻雙人房,10.0,10.0,10.0,10.0,9.0,9.0,96.0
10184012,Apto semi mobiliado,10.0,10.0,10.0,,,,
10209136,"Friendly Apartment, 10m from Manly",10.0,10.0,9.0,9.0,10.0,9.0,95.0
10280433,~Ao Lele~ Flying Cloud,10.0,10.0,10.0,10.0,10.0,10.0,99.0
10269320,FloresRooms 3T,10.0,10.0,10.0,10.0,10.0,10.0,96.0
103161,Cozy Art Top Floor Apt in PRIME Williamsburg!,10.0,10.0,10.0,10.0,10.0,9.0,96.0
102995,UWS Brownstone Near Central Park,9.0,9.0,10.0,10.0,10.0,9.0,93.0
10299095,Small Room w Bathroom Flamengo Rio de Janeiro,8.0,8.0,8.0,8.0,8.0,8.0,80.0
10267144,IPANEMA LUXURY PENTHOUSE with MAID,10.0,10.0,10.0,10.0,10.0,10.0,99.0
10266175,Makaha Valley Paradise with OceanView,10.0,10.0,10.0,10.0,9.0,9.0,98.0
10306879,Alugo Apart frente mar Barra Tijuca,10.0,10.0,10.0,,,,
10295352,"Amazing and Big Apt, Ipanema Beach.",10.0,10.0,10.0,,,,
1036027,BBC OPORTO 4X2,9.0,9.0,10.0,10.0,9.0,9.0,88.0
1038163,luxury apartment in istanbul taxsim,9.0,9.0,10.0,10.0,10.0,9.0,91.0
10381879,Pousada das Colonias,10.0,10.0,10.0,10.0,10.0,10.0,98.0
10332161,A large sunny bedroom,10.0,10.0,9.0,9.0,6.0,9.0,90.0
10343118,Best location 1BR Apt in HK - Shops & Sights,10.0,10.0,10.0,10.0,10.0,9.0,94.0
10373872,Apartamento Mobiliado - Lgo do Machado,10.0,10.0,10.0,,,,
10317142,Private OceanFront - Bathtub Beach. Spacious House,10.0,9.0,10.0,10.0,10.0,10.0,94.0
10359729,,10.0,10.0,10.0,,,,
10354347,Room For Erasmus,10.0,10.0,10.0,,,,
10383490,Quarto Taquara - Jacarepaguá,10.0,10.0,10.0,10.0,10.0,10.0,100.0
10392282,Banyan Bungalow,10.0,9.0,10.0,10.0,10.0,9.0,96.0
10324377,Suíte em local tranquilo e seguro,10.0,10.0,10.0,,,,
10416859,"Studio convenient to CBD, beaches, street parking.",10.0,9.0,10.0,10.0,10.0,10.0,96.0
10411341,Beautiful flat with services,10.0,9.0,9.0,10.0,10.0,9.0,95.0
10459480,Greenwich Fun and Luxury,10.0,10.0,10.0,,,,
10448594,Where Castles and Art meet the Sea,10.0,10.0,10.0,10.0,10.0,10.0,95.0
10431455,Sala e quarto em copacabana com cozinha americana,10.0,10.0,10.0,,,,
1042446,March 2019 availability! Oceanview on Sugar Beach!,10.0,9.0,10.0,10.0,10.0,9.0,94.0
10415637,(1) Beach Guest House - Go Make A Trip,10.0,10.0,10.0,10.0,10.0,10.0,98.0
1047087,The Garden Studio,10.0,10.0,10.0,10.0,9.0,10.0,97.0
10423504,Bondi Beach Dreaming 3-Bed House,10.0,10.0,10.0,10.0,10.0,9.0,96.0
10458796,Homely Room in 5-Star New Condo@MTR,9.0,9.0,10.0,10.0,10.0,9.0,94.0
10449328,Aluguel Temporada Casa São Conrado,10.0,10.0,10.0,,,,
10570041,Jardim Botânico Gourmet 2 bdroom,10.0,9.0,10.0,10.0,10.0,9.0,91.0
1073607,Bright Inner West Terrace Value+,10.0,10.0,10.0,10.0,10.0,10.0,96.0
10578580,Panoramic Ocean View Studio in  Quiet Setting,9.0,9.0,10.0,10.0,10.0,9.0,95.0
10552362,Sun filled comfortable apartment,10.0,10.0,10.0,10.0,10.0,10.0,100.0
10545815,Whole Apt. in East Williamsburg,10.0,10.0,10.0,10.0,9.0,9.0,96.0
1069531,"Asia House, Garden Room, Princevile",10.0,9.0,10.0,10.0,10.0,9.0,93.0
10560325,Spacious and well located apartment,9.0,9.0,10.0,9.0,9.0,9.0,89.0
1063491,"Charming Apartment,perfect Location",10.0,9.0,10.0,10.0,10.0,9.0,95.0
10664888,PORTO DOWNTOWN FLATS-RIBEIRA STUDIO,10.0,10.0,10.0,10.0,10.0,10.0,97.0
10782351,City View Apartment,10.0,10.0,10.0,10.0,10.0,10.0,80.0
10671783,CASA PARA AS OLIMPIADAS 2016,10.0,10.0,10.0,,,,
10675315,"Cozy, dreamy Mile End apartment",10.0,10.0,10.0,,,,
10802909,Room in the very ♥ of BCN - Unbeatable location,8.0,8.0,9.0,9.0,10.0,8.0,78.0
10624493,Cozy apartment 3 mins TAIWAI Subway,10.0,10.0,10.0,,,,
1067052,Nani La 'Ao (A Beautiful Day) Upstairs Suite,10.0,9.0,10.0,10.0,10.0,10.0,96.0
10716793,DOUBLE ROOM for 1 or 2 ppl,10.0,10.0,10.0,,,,
1074008,Designer's Historical Apartment,9.0,9.0,10.0,10.0,10.0,9.0,97.0
1077686,BALAT,10.0,10.0,10.0,,,,
1079887,Trendy apartment in BCN centre,10.0,9.0,10.0,10.0,9.0,9.0,93.0
10545725,Cozy bedroom Sagrada Familia,10.0,10.0,10.0,10.0,10.0,10.0,100.0
10486984,Cheerful new renovated central apt,9.0,9.0,10.0,10.0,9.0,9.0,94.0
1058555,Nice Cosy Room In Taksim,10.0,10.0,10.0,10.0,10.0,9.0,96.0
10527212,位於深水埗地鐵站的溫馨公寓,8.0,7.0,8.0,7.0,8.0,8.0,71.0
10487917,Heroísmo IV,9.0,9.0,9.0,9.0,9.0,9.0,89.0
10548991,Jubilee By The Sea (Ocean Views),10.0,10.0,10.0,10.0,10.0,10.0,98.0
10488837,Cozy House in Ortaköy,10.0,10.0,10.0,,,,
10558807,Park Guell apartment with terrace,8.0,7.0,8.0,8.0,8.0,8.0,71.0
10527243,Tropical Jungle Oasis,10.0,10.0,10.0,10.0,10.0,10.0,96.0
10573225,Charming Spacious Park Slope Studio,10.0,10.0,10.0,10.0,10.0,10.0,98.0
10659534,Beautiful 1 Bedroom Apartment,9.0,10.0,9.0,10.0,10.0,9.0,95.0
1066648,Colonial Mansion in Santa Teresa,10.0,10.0,10.0,,,,
1070322,Triple room Barcelona Guell park,9.0,9.0,9.0,9.0,9.0,8.0,82.0
10751153,Renovated Classic Design Studio with Sun Room,10.0,10.0,10.0,10.0,10.0,9.0,94.0
10612199,Serene luxury in Harlem,10.0,10.0,10.0,10.0,10.0,10.0,100.0
10639317,"Kadiköy, Moda, close to transports",10.0,10.0,10.0,,,,
10706900,Apart-hotel w/ Wonderful Ocean View - 2 bedrooms!!,10.0,9.0,10.0,10.0,10.0,9.0,95.0
10752737,HUGE Bedroom in Lower East Side,10.0,10.0,10.0,,,,
10471178,Rented Room,10.0,10.0,10.0,,,,
10635276,GREAT Apartment at Barra da Tijuca,10.0,10.0,10.0,10.0,10.0,10.0,100.0
10648267,Lovely ap at Leblon beach,10.0,10.0,10.0,10.0,10.0,10.0,100.0
1068505,Relaxing and Roomy in Crown Heights,10.0,10.0,10.0,10.0,10.0,9.0,96.0
10581101,Grand apartment Sagrada Familia,10.0,9.0,9.0,9.0,9.0,9.0,90.0
10519173,Condomínio Praia Barra da Tijuca,10.0,10.0,10.0,10.0,10.0,9.0,95.0
10596036,Apt Quarto e Sala amplo Laranjeiras,10.0,10.0,10.0,,,,
10628126,Ribeira Smart Flat,10.0,10.0,10.0,10.0,10.0,9.0,92.0
10677883,Great location in Barcelona,10.0,8.0,10.0,10.0,6.0,8.0,60.0
10742116,"Nişantaşı, safe, quality area.Very close to metro.",9.0,9.0,9.0,9.0,10.0,8.0,83.0
10542174,Luxury 1-Bdrm in Downtown Brooklyn,10.0,10.0,10.0,,,,
1092760,Private Entrance - Backyard Summer Dining - Enjoy,10.0,10.0,10.0,10.0,10.0,10.0,96.0
10857454,Artist Garden Duplex Ft. Greene - 2.5 Bedroom,10.0,10.0,10.0,10.0,10.0,10.0,98.0
10812136,well lit East Williamsburg apt.,10.0,10.0,10.0,,,,
10840938,Spacious 3bdrm. Artsy and Perfect Location!,9.0,9.0,9.0,10.0,10.0,9.0,87.0
10839973,傳統香港房间 - 干净整洁交通便利的二人房间,10.0,10.0,10.0,,,,
10893326,Designer Apartment in Sheung Wan,10.0,10.0,10.0,10.0,10.0,10.0,98.0
10862541,AP. EM CONDOMINIO FECHADO,10.0,10.0,10.0,,,,
1089542,Private Cozy Bedroom in Brooklyn,10.0,9.0,10.0,10.0,9.0,10.0,93.0
10911771,causeway bay MTR+Tidy Quad room&YT,7.0,8.0,8.0,9.0,9.0,8.0,76.0
10932304,"Waterfront, Enchanted Lake Home 2/1",9.0,9.0,9.0,9.0,10.0,9.0,87.0
10816768,Spacious 2 Bedroom: Soho/Escalator,10.0,10.0,10.0,10.0,10.0,10.0,99.0
10819035,Comfort Room in Istanbul,10.0,10.0,10.0,,,,
10828339,Quarto espaçoso e arejado no Rio.,10.0,10.0,10.0,,,,
10855800,Hospede-se com acesso fácil.,10.0,10.0,10.0,,,,
1090153,Aquilla House - Ocean Views Newport,9.0,7.0,10.0,10.0,9.0,8.0,93.0
10887852,Cozy Hell's Kitchen Apt,10.0,10.0,10.0,10.0,10.0,10.0,95.0
10839801,Room w private toilet 3 min to MTR!,10.0,10.0,10.0,10.0,10.0,10.0,97.0
10948197,aOceanside Hawaii Apartment Studio Kitchen Parking,9.0,9.0,10.0,10.0,9.0,9.0,93.0
10850008,Big Private BR Steps to Barnard Columbia & Subways,10.0,9.0,10.0,10.0,10.0,9.0,99.0
10852990,Apartamento para as olimpíadas,10.0,10.0,10.0,,,,
1095174,Makai Hideaway,10.0,10.0,10.0,10.0,9.0,10.0,97.0
10908640,Quarto de Casal em Ipanema,10.0,9.0,9.0,10.0,10.0,9.0,100.0
10977704,Bright PrivateRm 1 min to JordanMTR,10.0,10.0,10.0,10.0,10.0,9.0,96.0
11006512,Alcam Colon 52 Apartment,10.0,10.0,10.0,,,,
10992286,Holoholo Inn: Rain Forest (Priv-2),10.0,10.0,10.0,10.0,10.0,10.0,98.0
1101035,Sunny 1 or 2 BR apt in Boerum Hill,10.0,10.0,10.0,10.0,10.0,9.0,98.0
10985735,enjoy nature in Istanbul,10.0,9.0,10.0,10.0,9.0,9.0,94.0
11005300,East Village Sanctuary,10.0,10.0,10.0,10.0,10.0,10.0,100.0
10990260,The Executive  Posh Room,9.0,10.0,10.0,10.0,10.0,9.0,91.0
1098211,Super location - Walk to the City!,9.0,10.0,10.0,10.0,9.0,8.0,84.0
1104768,2 Bdrm/2 Bath  Family Suite Ocean View,9.0,7.0,9.0,9.0,10.0,8.0,82.0
11055163,Room 1 near Jordan Mtr station 1min,9.0,9.0,10.0,9.0,10.0,9.0,88.0
11097962,"Home, Sweet, Harlem. Welcome!",9.0,10.0,10.0,10.0,9.0,9.0,90.0
11012484,,10.0,10.0,10.0,,,,
11007542,Spacious room Kadıköy Yeldeğirmeni,10.0,10.0,10.0,10.0,10.0,10.0,100.0
11007058,Alcam Colón 42 Apartment,6.0,8.0,8.0,6.0,10.0,8.0,80.0
11080033,Sunny Bedroom in Downtown Montreal,10.0,8.0,10.0,10.0,10.0,8.0,80.0
11093339,Newly and comfortable apt,10.0,10.0,10.0,10.0,10.0,10.0,94.0
10992671,Brooklyn Artist Loft / Fun Location,10.0,9.0,10.0,10.0,10.0,10.0,98.0
11095139,Room 3 near Jardan mtr station 1min,9.0,9.0,10.0,10.0,10.0,9.0,89.0
11194788,,10.0,10.0,10.0,,,,
11115528,DOUBLE ROOM IN THE HEART OF BCN,9.0,9.0,9.0,10.0,10.0,9.0,90.0
1111410,MONTJUIC FOUNTAINS APARTMENT,9.0,9.0,9.0,9.0,9.0,9.0,87.0
11191242,2 Bedroom in The East Village!,9.0,9.0,10.0,10.0,10.0,9.0,88.0
11113983,Nice Decorated Studio in Central,10.0,10.0,10.0,,,,
1155885,Fresh and modern 1BR in Bed-Stuy,10.0,10.0,10.0,10.0,9.0,10.0,93.0
11197217,2 Bedroom Ipanema-Copacabana,9.0,10.0,10.0,10.0,9.0,8.0,100.0
11409841,Midillis 202 (Double Room),10.0,10.0,10.0,10.0,10.0,10.0,98.0
1144090,O'Porto Studio | Historic Center,10.0,10.0,10.0,10.0,10.0,9.0,92.0
11157167,Cozy Chinatown studio apartment,10.0,9.0,10.0,10.0,10.0,10.0,97.0
11305966,NEW FLAT + PRIVATE ROOFTOP IN SAY YING PUN,9.0,8.0,8.0,8.0,9.0,8.0,90.0
1143151,Harbourside Apartment - Water Views,10.0,9.0,10.0,10.0,10.0,9.0,94.0
11459525,Beautiful in Ipanema for your Family,10.0,10.0,10.0,10.0,10.0,10.0,100.0
11566403,Feel like home,10.0,9.0,10.0,10.0,10.0,9.0,92.0
11242147,Prince Kuhio 315 ocean view steps to the beach,10.0,10.0,10.0,10.0,10.0,10.0,100.0
11387183,Quiet room in central Istanbul,10.0,10.0,10.0,,,,
11510109,LightHouse with Sea View,10.0,10.0,10.0,10.0,10.0,10.0,100.0
11552866,6 min. walk to metro & metrobus,10.0,10.0,10.0,,,,
11602050,Museum Mile 1 BR - Madison Ave,8.0,8.0,8.0,9.0,9.0,7.0,80.0
11131495,Charming apartment in Santa Teresa,10.0,10.0,10.0,10.0,10.0,10.0,94.0
11223389,Large Duplex in Midtown East with backyard!,10.0,9.0,10.0,10.0,10.0,9.0,92.0
11264406,"Mongkok Luxury Studio, New Reno *4A",10.0,10.0,10.0,10.0,10.0,10.0,100.0
11335874,Huge bedroom in luxurious apartment,10.0,10.0,10.0,10.0,10.0,10.0,100.0
11406680,listing_id: (Phone number hidden by Airbnb) THE BEST LOCATION IN LEBLON,10.0,9.0,10.0,10.0,10.0,9.0,96.0
11567997,The Local Nook // Cozy Kona Hale,10.0,10.0,10.0,10.0,10.0,10.0,96.0
11145180,Clean room in quiet area,10.0,10.0,9.0,9.0,9.0,10.0,92.0
11146498,A cosy room for female student,10.0,10.0,10.0,10.0,10.0,10.0,100.0
11464859,The Sassy Lilac Megan Love Room,10.0,10.0,10.0,10.0,10.0,10.0,99.0
11442936,1 sunny bedroom in large St-Henri appartment,10.0,10.0,10.0,10.0,10.0,10.0,100.0
1146653,Luxury 1 Bedroom Central Park Views,10.0,10.0,10.0,10.0,10.0,10.0,98.0
11396243,Beautiful Ensuite Room -Easy access to city,10.0,10.0,10.0,,,,
11553333,* Lani Beach House,10.0,10.0,10.0,,,,
11553357,Brick House: Unique Garden Apartment! King Bed!,10.0,9.0,10.0,10.0,9.0,10.0,94.0
11603201,"1 bedroom in Astoria, Queens",10.0,10.0,10.0,,,,
11610598,The Ohana at Volcanoes National Park!,10.0,10.0,10.0,10.0,10.0,10.0,98.0
1145567,ROOM + ENSUITE INNER CITY MOD HOUSE,8.0,8.0,9.0,10.0,9.0,9.0,88.0
11480835,Brooklyn Bushwhick Private Room,10.0,10.0,10.0,,,,
11488558,"Cosy flat,walking distance tocenter",10.0,10.0,10.0,10.0,10.0,10.0,100.0
1148978,1 BR 1/2 block to A/B/C/D trains,10.0,9.0,9.0,10.0,9.0,9.0,94.0
1153834,GRACE BEAUTIFUL LOFT IN BARCELONA-At least 32 days,6.0,7.0,8.0,8.0,8.0,7.0,65.0
1117706,"Bright, Bohemian, Spacious Apt in Williamsburg",10.0,10.0,9.0,9.0,10.0,10.0,97.0
11413023,Lulapartment II,10.0,9.0,10.0,10.0,10.0,10.0,95.0
11144250,Burgazada da çarşıya yakın daire,10.0,9.0,10.0,10.0,10.0,9.0,94.0
1155475,"Big, glamorous, 4BR, 3-story house",10.0,10.0,10.0,10.0,10.0,9.0,97.0
11557363,Wellyet Guest House@Room 2,9.0,9.0,10.0,9.0,9.0,9.0,90.0
11098708,Convenient & Cozy Private Rm@Jordan,10.0,9.0,10.0,10.0,10.0,9.0,97.0
11136898,1 or 2 rooms with private terrace in shared flat,10.0,9.0,10.0,10.0,10.0,10.0,97.0
1127954,Conveniently located apartment,10.0,10.0,10.0,,,,
11319047,Sugar Beach Resort 1BR Ground Floor Condo !,10.0,10.0,10.0,,,,
1136399,Furnished Nolita Studio,10.0,10.0,10.0,,,,
11472884,Apartamento de Luxo para Olimpíadas,10.0,10.0,10.0,,,,
11533406,Tai Hang (Causeway Bay) Sunny Aprt',10.0,10.0,10.0,10.0,10.0,9.0,98.0
11568230,Apartamento en casco antiguo,9.0,9.0,10.0,10.0,10.0,9.0,93.0
11108923,"Amazing NEW Food Lover Balcony, close to FIRA, MWC",10.0,10.0,10.0,10.0,9.0,9.0,95.0
11153910,SPACIOUS RAMBLA CATALUÑA,8.0,6.0,8.0,8.0,8.0,6.0,80.0
11193311,habitación doble tranquila con luz,10.0,9.0,10.0,10.0,9.0,9.0,86.0
1132409,Amazing Upper West Side Loft-Studio,10.0,10.0,10.0,10.0,10.0,10.0,93.0
11378656,HAPPY TO HELP YOU,10.0,10.0,10.0,,,,
11379251,Cottage on Kona Coffee Farm,10.0,10.0,10.0,,,,
1112838,Spacious and quiet duplex apartment in Poble Sec,10.0,10.0,10.0,10.0,10.0,10.0,95.0
11194486,Lovely room in Caueway Bay!,10.0,10.0,10.0,,,,
1129061,Pineapple Paradise,10.0,10.0,10.0,10.0,10.0,10.0,96.0
1131054,Executive Luxury design Apartment,10.0,10.0,10.0,10.0,10.0,10.0,99.0
11420459,Loue 1 chambre privée,10.0,10.0,10.0,,,,
11447743,Apartamento São Bento da Vitória 2 - Amazing view,10.0,10.0,10.0,10.0,10.0,10.0,98.0
11130156,Double Room,10.0,10.0,10.0,,,,
11207193,302 Kanai A Nalu Ocean front/view,10.0,10.0,10.0,10.0,10.0,9.0,97.0
11364106,cozy house and garden in the heart of Montréal,10.0,10.0,10.0,10.0,10.0,10.0,100.0
1139810,2 confortables habitaciones en el centro de BCN!,10.0,10.0,10.0,10.0,10.0,9.0,95.0
1138483,Bundeena Garden Studio near beaches,10.0,10.0,10.0,10.0,10.0,10.0,98.0
11444539,Twin Room With Window,9.0,9.0,10.0,10.0,10.0,9.0,95.0
11567179,"Bright, sunny quite room Bushwick",10.0,10.0,10.0,10.0,10.0,10.0,100.0
11567815,"Bright, Modern, Spacious Duplex Apt",10.0,10.0,10.0,10.0,10.0,10.0,98.0
116931,Nice room with queen sized bed,9.0,8.0,10.0,9.0,10.0,9.0,88.0
11894971,Cottage in Bondi/Tamarama,10.0,10.0,10.0,,,,
11679106,.CidadeMaravilhosa.2017RIO,10.0,10.0,10.0,,,,
11667313,Brand new apartment next to HKU,10.0,10.0,10.0,,,,
11695887,2 BR Oceanview - Great Location!,10.0,9.0,10.0,10.0,10.0,9.0,94.0
11817249,PALMS AT WAILEA #905-2BR-REMODELED-LARGE LANAI-AC,10.0,10.0,10.0,10.0,10.0,10.0,99.0
11648810,Appartement 3 1/2 en résidence,4.0,4.0,10.0,8.0,8.0,8.0,70.0
11792238,,10.0,6.0,10.0,10.0,10.0,10.0,80.0
11914814,Cruisy apartment by the sea,10.0,10.0,10.0,10.0,10.0,9.0,100.0
11918738,Amazing Ocean View Condo in Wailea!,10.0,9.0,10.0,10.0,10.0,10.0,98.0
1195977,Porto-amazing room with ensuite,10.0,10.0,10.0,10.0,8.0,10.0,100.0
12008712,Barra da Tijuca: 2 suites overlooking the ocean and lagoon,10.0,10.0,10.0,,,,
12080961,Charmante chambre - Berri Uqam,10.0,10.0,10.0,10.0,10.0,10.0,95.0
12091894,Apartment in Ipanema with Balcony,9.0,9.0,9.0,10.0,10.0,9.0,96.0
12156307,HALE KIPA 2 VACATION RENTAL,10.0,10.0,10.0,10.0,9.0,10.0,95.0
121861,"Park Slope Apt:, Spacious 2 bedroom",10.0,10.0,10.0,10.0,10.0,10.0,99.0
12211157,Westin Kaanapali KORVS 2BR,10.0,9.0,9.0,10.0,10.0,10.0,100.0
12220612,Roof Top Terrace,9.0,10.0,9.0,9.0,10.0,9.0,86.0
11757719,Quarto próximo ao Estádio Olímpico,10.0,10.0,10.0,,,,
11796483,Cozy&clean room in Sisli next to subway,8.0,8.0,8.0,8.0,8.0,8.0,100.0
11806776,Spacious Four Bedroom Terrace,10.0,10.0,10.0,,,,
1185644,2 BR Queen Size Sunny - Nolita,10.0,9.0,9.0,10.0,10.0,9.0,94.0
12014026,Apartment in Tuen Mun.............,10.0,10.0,10.0,,,,
11708,Cute apt in artist's home,9.0,9.0,10.0,10.0,9.0,9.0,87.0
11716047,STUDIO COPACABANA VISTA MAR,10.0,10.0,10.0,10.0,10.0,10.0,100.0
117425,"Conveniently Located, Sunny Brooklyn Heights!",9.0,9.0,9.0,9.0,10.0,9.0,90.0
11764681,"Double Suite, with private bathroom.",10.0,10.0,9.0,9.0,10.0,9.0,90.0
1176693,BEST REVIEWS*BEST MALLS*SAFE STAY*DIMSUM*CWB*MTR,9.0,9.0,9.0,10.0,10.0,8.0,83.0
11816864,Bright Room in Spacious Astoria Apt,10.0,10.0,9.0,10.0,8.0,9.0,96.0
11935301,"Spacious, Sunny Room in Park Slope",10.0,10.0,10.0,10.0,10.0,10.0,100.0
12007662,"Very nice location, cozy home!",10.0,10.0,10.0,,,,
12010910,HOUSE INHISTORICAL AREA GAIA-OPORTO,10.0,9.0,10.0,10.0,10.0,9.0,96.0
12083780,Renovated Modern Apartment with Cathedral Views,10.0,10.0,10.0,10.0,10.0,9.0,97.0
12120988,Room with a gorgeous Bosphorus View,10.0,10.0,10.0,,,,
11688660,Studio Apartment w/ Private Rooftop,10.0,10.0,10.0,10.0,10.0,10.0,100.0
12112834,"Clean, Gay Friendly Room,in Harbiye",10.0,10.0,10.0,,,,
1215226,Luxury Apartment in Instambul,8.0,9.0,9.0,9.0,9.0,8.0,86.0
11740322,★Cozy doble bedroom ★Nearby Christ the Redeemer★,10.0,10.0,10.0,10.0,10.0,10.0,99.0
11779701,Cozy & in the heart of Kowloon,10.0,9.0,10.0,9.0,10.0,10.0,87.0
11863943,Au cœur de la Petite Patrie,10.0,9.0,10.0,10.0,9.0,9.0,94.0
1215049,Rustic Gaudí - Sagrada Família,10.0,10.0,10.0,10.0,10.0,9.0,92.0
12234922,"Room in apartment with beautiful view, in Botafogo",10.0,10.0,10.0,10.0,10.0,10.0,100.0
1182474,"Kowloon Mongkok 1812 Twin Room A, near station",9.0,10.0,10.0,10.0,10.0,10.0,91.0
1182475,Beyoğlunda Şirin Kullanışlı Stüdyo2,9.0,9.0,10.0,9.0,9.0,9.0,87.0
11860692,Colourful apt in Plateau/Mile End,10.0,10.0,10.0,10.0,10.0,10.0,99.0
1200438,Ranch Abode Loft in Bushwick,9.0,8.0,9.0,9.0,9.0,9.0,89.0
1211285,Bondi Apartment with Stunning Views,9.0,9.0,10.0,10.0,10.0,9.0,90.0
1206363,Eco Hale Hawaii in the Rainforest Lots Of Aloha,10.0,10.0,10.0,10.0,9.0,10.0,99.0
12142163,Berk Guesthouse Superior Double,10.0,10.0,10.0,,,,
11715762,Appartement avec gymnase et sauna,10.0,10.0,10.0,,,,
11841749,MODERN CONDO WITH VIEW - GRIFFIN,10.0,10.0,10.0,10.0,8.0,10.0,100.0
